StationID,AverageDur,NumberTrips,lat,long
3278,32.12,158,39.993011,-75.16809800
3279,14.45,368,39.926498,-75.16680100
3280,25.01,97,39.939678,-75.21362300
3281,62.86,136,39.932301,-75.21620200
3282,45.00,116,39.986279,-75.14924600
3283,19.58,198,39.975948,-75.17508700
3284,31.56,126,40.011120,-75.19287100
3285,14.61,590,39.959461,-75.14745300
3286,10.56,831,39.964088,-75.14769000
3287,23.75,334,39.943668,-75.21605700
3291,41.70,185,40.010220,-75.19699900
3292,15.28,318,39.919998,-75.15619700
3294,15.50,1379,39.951740,-75.17063100
3295,17.97,2710,39.950279,-75.16027100
3296,18.52,2056,39.951340,-75.16758000
3297,15.95,554,39.958210,-75.16900600
3298,11.25,205,39.947170,-75.20690900
3299,19.37,918,39.943321,-75.15698200
3300,20.70,373,39.955109,-75.16287200
3301,15.57,1811,39.950291,-75.17125700
3303,16.01,636,39.955898,-75.20529900
3304,15.41,1150,39.942341,-75.15399200
3305,45.78,153,39.995689,-75.16709900
3306,24.60,20,39.996830,-75.17761200
3307,69.60,80,40.002800,-75.17400400
3308,15.62,360,39.938660,-75.16351300
3309,15.65,221,39.960041,-75.22440300
3310,24.79,191,39.980240,-75.18650800
3311,18.00,4,39.915508,-75.15473900
3313,16.75,283,39.915798,-75.16429900
3314,13.43,489,39.936821,-75.14492000
3315,18.32,71,39.942348,-75.21138000
3316,18.35,388,39.922550,-75.17337000
3317,13.82,238,39.936329,-75.19447300
3318,20.52,977,39.951820,-75.16394800
3319,28.35,246,39.966721,-75.12963900
3320,16.18,446,39.974602,-75.15917200
3321,14.39,607,39.954849,-75.17298100
3322,12.13,815,39.936378,-75.15525800
3323,42.09,160,40.027962,-75.22769900
3324,45.06,411,39.994839,-75.19242100
3325,14.40,136,39.976799,-75.12764000
3326,41.77,132,39.991982,-75.19944000
3327,16.85,176,39.977589,-75.12442000
3328,32.22,535,39.987980,-75.19950100
3329,31.34,178,40.026508,-75.22444900
3330,21.48,707,39.953758,-75.16474200
3331,23.81,202,39.971161,-75.12812800
3332,37.24,21,40.005371,-75.18142700
3333,11.07,1207,39.954102,-75.16964700
3334,17.17,694,39.930199,-75.15635700
3335,26.98,270,40.022369,-75.21800200
3336,11.43,758,39.957191,-75.19387800
3337,17.34,865,39.973179,-75.14611800
3338,57.49,134,39.950981,-75.23034700
3339,30.27,241,40.016300,-75.21241000
3340,17.46,840,39.969059,-75.18168600
3341,29.56,384,39.981312,-75.12731900
3342,13.62,594,39.963902,-75.17385100
3343,15.19,412,39.939060,-75.17823800
3344,61.34,73,39.959610,-75.23354300
3345,11.58,290,39.961700,-75.14666700
3346,18.25,575,39.948830,-75.15097000
3347,14.46,213,39.954842,-75.15448800
3348,19.01,285,39.977188,-75.17952000
3349,15.00,108,39.936508,-75.18621100
3350,50.27,44,39.994148,-75.15527300
3351,15.00,4,39.996552,-75.14991000
3353,26.00,2,40.004959,-75.15232800
